EventId,EventTemplate,Occurrences
E0,"('<*>', 'RAS', 'KERNEL', 'INFO', '<*>', '<*>', '<*>', '<*>', '<*>')",65005
E1,"('<*>', 'RAS', 'KERNEL', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",20543
E2,"('<*>', 'RAS', 'KERNEL', '<*>', 'guaranteed', 'instruction', 'cache', 'block', 'touch.0')",2390
E3,"('<*>', 'RAS', 'KERNEL', 'FATAL', 'rts', 'panic!', '-', 'stopping', 'execution')",3983
E4,"('<*>', 'RAS', 'KERNEL', 'FATAL', '<*>', '<*>', '<*>', '<*>', '<*>')",5385
E5,"('<*>', 'RAS', 'KERNEL', 'FATAL', '<*>', 'input', 'interrupt', 'enable..', '<*>')",20
E6,"('<*>', 'RAS', 'KERNEL', 'INFO', 'instruction', 'cache', 'parity', 'error', 'corrected')",39640
E7,"('<*>', 'RAS', 'KERNEL', 'FATAL', '<*>', 'global', 'control', 'register:', '<*>')",48
E8,"('<*>', 'RAS', 'KERNEL', '<*>', 'program', 'interrupt:', 'unimplemented', 'operation..', '<*>')",8102
E9,"('<*>', 'RAS', 'KERNEL', 'INFO', '<*>', 'floating', 'point', 'alignment', 'exceptions')",267719
E10,"('<*>', 'RAS', 'KERNEL', 'INFO', 'program', 'interrupt:', 'privileged', 'instruction..', '<*>')",480
E11,"('<*>', 'RAS', 'LINKCARD', 'FATAL', 'MidplaneSwitchController::sendTrain(', ')', 'port', 'disconnected:', '<*>')",24
E12,"('<*>', 'NULL', 'HARDWARE', 'SEVERE', '<*>', 'is', 'not', 'fully', 'functional')",308
E13,"('<*>', 'RAS', '<*>', 'FATAL', 'Torus', 'non-recoverable', '<*>', 'DCRs', 'follow.')",10
E14,"('<*>', 'RAS', '<*>', 'FATAL', '<*>', '<*>', '<*>', '<*>', '<*>')",11
E15,"('<*>', 'RAS', 'KERNEL', 'FATAL', 'Error:', 'unable', 'to', 'mount', 'filesystem')",720
E16,"('<*>', 'RAS', 'KERNEL', 'FATAL', 'machine', 'check', 'status', 'register:', '<*>')",7
E17,"('<*>', 'RAS', 'KERNEL', 'FATAL', 'DDR', 'failing', 'info', 'register:', '<*>')",1
E18,"('\x0f.²ÐFÇi\x98DÝC`\x0f)', 'ÙpDÝCpDÝC@DÝC@', 'RAS', 'KERNEL', 'INFO', 'iar', '<*>', 'dear', '<*>')",2
E19,"('<*>', 'RAS', 'KERNEL', 'FATAL', 'idoproxy', 'communication', 'failure:', 'socket', 'closed')",41
E20,"('<*>', 'RAS', 'KERNEL', 'FATAL', 'Machine', 'Check', 'Status', 'Register:', '<*>')",56
E21,"('<*>', 'RAS', 'KERNEL', 'FATAL', 'Core', 'Configuration', 'Register', '<*>', '<*>')",69
E22,"('<*>', 'RAS', 'KERNEL', 'FATAL', '<*>', '<*>', 'bffac6de', '<*>', '<*>')",1
E23,"('<*>', 'RAS', 'KERNEL', 'FATAL', '<*>', '<*>', 'bffcf2e2', '<*>', '<*>')",1
E24,"('<*>', 'RAS', 'KERNEL', 'FATAL', '<*>', '<*>', 'ffffffff', '<*>', '<*>')",201
E25,"('<*>', 'RAS', 'KERNEL', 'FATAL', '<*>', '<*>', '3fefab3a', '<*>', '<*>')",1
E26,"('<*>', 'RAS', 'KERNEL', 'FATAL', '<*>', '<*>', 'bfed5eb3', '<*>', '<*>')",1
E27,"('<*>', 'RAS', 'KERNEL', 'FATAL', '<*>', '<*>', '<*>', 'caeeb4b5', '<*>')",1
E28,"('<*>', 'RAS', 'KERNEL', 'FATAL', '<*>', '<*>', 'c04bbccf', '<*>', '<*>')",1
