EventId,EventTemplate,Occurrences
E0,"('instruction', 'cache', 'parity', 'error', 'corrected')",104563
E1,"('machine', 'check', 'status', 'register:', '<*>')",246
E2,"('critical', 'input', 'interrupt', 'enable..', '<*>')",6559
E3,"('external', 'input', 'interrupt', 'enable..', '<*>')",6556
E4,"('guaranteed', 'instruction', 'cache', 'block', 'touch.0')",2390
E5,"('rts', 'panic!', '-', 'stopping', 'execution')",3983
E6,"('<*>', 'global', 'control', 'register:', '<*>')",48
E7,"('<*>', 'ecc', '<*>', 'register:', '<*>')",95
E8,"('DDR', 'failing', 'info', 'register:', '<*>')",18
E9,"('program', 'interrupt:', 'privileged', 'instruction..', '<*>')",9824
E10,"('program', 'interrupt:', 'unimplemented', 'operation..', '<*>')",8102
E11,"('<*>', 'floating', 'point', 'alignment', 'exceptions')",267725
E12,"('MidplaneSwitchController::sendTrain(', ')', 'port', 'disconnected:', '<*>')",24
E13,"('<*>', 'is', 'not', 'fully', 'functional')",308
E14,"('parity', 'error..', '..', '..', '<*>')",1
E15,"('Torus', 'non-recoverable', '<*>', 'DCRs', 'follow.')",10
E16,"('<*>', '<*>', '<*>', '<*>', '<*>')",1495
E17,"('Error:', 'unable', 'to', 'mount', 'filesystem')",720
E18,"('idoproxy', 'communication', 'failure:', 'socket', 'closed')",41
E19,"('Machine', 'Check', 'Status', 'Register:', '<*>')",56
E20,"('Core', 'Configuration', 'Register', '<*>', '<*>')",69
E21,"('fpr0=', '<*>', '<*>', '<*>', '<*>')",45
E22,"('fpr1=', '<*>', '<*>', '<*>', '<*>')",45
E23,"('fpr2=', '<*>', '<*>', '<*>', '<*>')",38
E24,"('fpr3=', '<*>', '<*>', '<*>', '<*>')",44
E25,"('fpr4=', '<*>', '<*>', '<*>', '<*>')",37
E26,"('fpr5=', '<*>', '<*>', '<*>', '<*>')",32
E27,"('fpr6=', '<*>', '<*>', '<*>', '<*>')",29
E28,"('fpr7=', '<*>', '<*>', '<*>', '<*>')",40
E29,"('fpr8=', '<*>', '<*>', '<*>', '<*>')",32
E30,"('fpr9=', '<*>', '<*>', '<*>', '<*>')",41
E31,"('<*>', '<*>', 'bffac6de', '<*>', '<*>')",1
E32,"('<*>', '<*>', 'bffcf2e2', '<*>', '<*>')",1
E33,"('<*>', '<*>', 'ffffffff', '<*>', '<*>')",201
E34,"('<*>', '<*>', '3fefab3a', '<*>', '<*>')",1
E35,"('<*>', '<*>', 'bfed5eb3', '<*>', '<*>')",1
E36,"('<*>', '<*>', '<*>', 'caeeb4b5', '<*>')",1
E37,"('<*>', '<*>', 'c04bbccf', '<*>', '<*>')",1
E38,"('<*>', '<*>', '<*>', 'ea6dfa9e', '<*>')",1
E39,"('<*>', '<*>', '<*>', 'fffffffe', '<*>')",1
E40,"('<*>', '<*>', 'ffffffff', 'fffffffb', '<*>')",1
E41,"('<*>', '<*>', '<*>', 'fffffe51', '<*>')",1
E42,"('<*>', '<*>', 'b8cac5bd', '<*>', '<*>')",1
E43,"('<*>', '<*>', 'bc45cceb', '<*>', '<*>')",1
E44,"('<*>', '<*>', 'bccac03e', '<*>', '<*>')",1
E45,"('<*>', '<*>', '<*>', 'ba3feeb9', '<*>')",1
E46,"('<*>', '<*>', '<*>', 'cf9aacc6', '<*>')",1
E47,"('<*>', '<*>', 'bfdc2b6a', '<*>', '<*>')",1
E48,"('<*>', '<*>', 'ffffffff', 'cccccccd', '<*>')",1
E49,"('<*>', '<*>', '<*>', 'd9d7bdbb', '<*>')",2
E50,"('<*>', '<*>', '<*>', 'a7aba2ea', '<*>')",1
E51,"('<*>', '<*>', '<*>', '<*>', '3fc7afbd')",1
E52,"('<*>', '<*>', '<*>', 'ae4ee1be', 'bfaf15cf')",1
E53,"('<*>', '<*>', '<*>', 'f4afcb3f', '<*>')",1
E54,"('<*>', '<*>', '<*>', '<*>', 'bfc0e6fa')",1
E55,"('<*>', '<*>', '<*>', '<*>', '3fdcc0ca')",1
E56,"('<*>', '<*>', 'bfe0bbc0', '<*>', '<*>')",1
E57,"('<*>', '<*>', 'bfdab5ea', '<*>', '<*>')",1
E58,"('<*>', '<*>', 'bfed0fde', '<*>', '<*>')",1
E59,"('<*>', '<*>', '<*>', '<*>', 'bffee1ae')",1
E60,"('<*>', '<*>', '<*>', '<*>', '3ff8ddaf')",1
E61,"('<*>', '<*>', '<*>', '<*>', 'bffcbf8a')",1
E62,"('<*>', '<*>', 'bff2dec1', '<*>', '<*>')",1
E63,"('<*>', '<*>', 'bfbaf6fe', '<*>', '<*>')",1
E64,"('<*>', '<*>', '<*>', '<*>', '3fbcbeb6')",1
E65,"('<*>', '<*>', '<*>', '<*>', 'bfcb7ed6')",1
E66,"('<*>', '<*>', '<*>', '<*>', 'bfcefc09')",1
E67,"('<*>', '0xc8cdfbab', '<*>', '<*>', '<*>')",1
E68,"('<*>', '<*>', 'bff6fdf9', '<*>', 'bffc2f3a')",1
E69,"('<*>', '<*>', '<*>', 'ee00caaa', '<*>')",1
E70,"('<*>', '<*>', '<*>', '<*>', 'bfeb7ad4')",1
E71,"('<*>', '<*>', '<*>', '<*>', 'bfeb7b2e')",1
E72,"('<*>', '<*>', 'bfe3cfc7', '<*>', '<*>')",1
E73,"('<*>', '<*>', 'bdecab74', '<*>', '3df3ddff')",1
E74,"('<*>', '<*>', '<*>', '<*>', 'be3beda6')",1
E75,"('<*>', '<*>', '<*>', '<*>', 'be3ba3ec')",1
E76,"('<*>', '<*>', '<*>', 'd6dbe0ae', '<*>')",1
E77,"('<*>', '<*>', '<*>', '<*>', 'aaecab24')",1
E78,"('<*>', '0xfcffd0ad', '<*>', '<*>', '<*>')",1
E79,"('<*>', '<*>', '3fbdc5fe', '<*>', '<*>')",1
E80,"('<*>', '<*>', '<*>', '<*>', '3fdffffe')",1
E81,"('<*>', '<*>', 'bfcbd0a0', '<*>', '<*>')",1
E82,"('<*>', '<*>', '<*>', '<*>', '3f2dfdac')",1
E83,"('<*>', '<*>', '<*>', '<*>', '3fefcf0c')",1
E84,"('<*>', '0xfffffef0', '<*>', '<*>', '<*>')",1
E85,"('<*>', '<*>', '<*>', '<*>', 'fdbdf4a6')",1
E86,"('<*>', '<*>', '3fefabb7', '<*>', '<*>')",1
E87,"('<*>', '<*>', '<*>', '<*>', 'fffffffc')",1
E88,"('<*>', '<*>', '<*>', '<*>', 'bfd7fac0')",1
E89,"('<*>', '<*>', '<*>', '<*>', 'bfd7fba9')",1
E90,"('<*>', '<*>', '<*>', '<*>', 'bfe83feb')",2
E91,"('<*>', '<*>', '<*>', '<*>', '3fdd0fef')",1
E92,"('<*>', '<*>', '<*>', '7f7fffff', '7f7fffff')",2
E93,"('<*>', '0xffffffff', 'ffffffff', '<*>', '<*>')",18
E94,"('<*>', '0xffffffff', 'ffffffff', '<*>', '3feff9db')",9
E95,"('<*>', '<*>', '<*>', 'fffffe7a', '<*>')",1
E96,"('<*>', '<*>', '<*>', '<*>', 'bfe4dfed')",3
E97,"('MidplaneSwitchController::clearPort(', '<*>', 'bll_clear_port', '<*>', '<*>')",2
E98,"('ddr:', 'Suppressing', 'further', 'CE', 'interrupts')",302
E99,"('<*>', '<*>', '3f4fffff', 'fffffe7a', '3f4fffff')",2
E100,"('MidplaneSwitchController', 'performing', 'bit', 'sparing', 'on', '<*>', 'bit', '<*>')",964
E101,"('ddr:', 'excessive', 'soft', 'failures,', 'consider', 'replacing', 'the', 'card')",41
E102,"('d-cache', 'flush', 'parity', 'error..', '..', '..', '..', '<*>')",294
E103,"('imprecise', 'machine', 'check..', '..', '..', '..', '..', '<*>')",289
E104,"('disable', 'apu', 'instruction', 'broadcast..', '..', '..', '..', '<*>')",2396
