EventId,EventTemplate,Occurrences
E0,"('<*>', '<*>', 'tftp:', 'client', 'does', 'not', 'accept', 'options')",7641
E1,"('<*>', 'logger:', 'Kickstart', 'Install:', 'Prepare', 'speconf_sync', 'to', 'work')",1273
E2,"('local@tbird-admin1', '<*>', 'signal_no_reset:', 'signal', '<*>', 'had', 'flags', '<*>')",12
E3,"('<*>', '<*>', 'See', '<*>', 'manual', '<*>', 'more', 'instructions.')",1
E4,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '=', '<*>')",1
E5,"('<*>', '<*>', '(root)', '<*>', '<*>', '<*>', '>', '/dev/null)')",1
E6,"('<*>', '<*>', 'Internet', 'Systems', 'Consortium', 'DHCP', '<*>', '<*>')",561
E7,"('<*>', 'dhcpd:', 'Wrote', '<*>', 'leases', 'to', 'leases', 'file.')",372
E8,"('<*>', '<*>', 'configure:', 'keyword', '""authenticate""', 'unknown,', 'line', 'ignored')",3318
E9,"('<*>', '<*>', 'frequency', 'initialized', '<*>', 'PPM', 'from', '/var/lib/ntp/drift')",6967
E10,"('<*>', 'logger:', 'Kickstart', 'Install:', 'Dell', 'BIOS', 'CONF', 'Package')",1269
E11,"('<*>', 'logger:', 'Kickstart/Yast', 'Install:', 'Finished', 'installation', 'on', 'localhost.localdomain')",1275
E12,"('<*>', 'kernel:', 'Lustre:', '<*>', 'maximum', 'lustre', 'stack', '<*>')",28
E13,"('<*>', '<*>', 'Caught', 'signal', '<*>', 'un-registering', 'and', 'exiting.')",3477
E14,"('<*>', '<*>', 'Intel(R)', 'Xeon(TM)', 'CPU', '<*>', 'stepping', '<*>')",3981
E15,"('<*>', 'kernel:', '<*>', 'zone:', '<*>', 'pages,', 'LIFO', '<*>')",10407
E16,"('<*>', 'kernel:', 'Type:', '<*>', 'ANSI', 'SCSI', 'revision:', '<*>')",7739
E17,"('<*>', 'kernel:', '<*>', '<*>', '-', '<*>', '(ACPI', 'data)')",4207
E18,"('<*>', 'kernel:', 'ACPI:', 'HPET', 'id:', '0xffffffff', 'base:', '<*>')",4138
E19,"('<*>', 'kernel:', 'ACPI:', 'LAPIC_NMI', '<*>', 'high', 'edge', 'lint[0x1])')",17805
E20,"('<*>', 'kernel:', 'ACPI:', 'PCI', 'Interrupt', 'Routing', 'Table', '<*>')",31292
E21,"('<*>', 'kernel:', 'ACPI:', 'PCI', 'Root', 'Bridge', '[PCI0]', '<*>')",3922
